value,count,m2,hectare
"0.00000000","57558468","51309718075.35318756","5130972"
"3.00000000","4036814","3598563260.27716351","359856"
"4.00000000","9565","8526589.92575607","853"
"6.00000000","183663","163723898.12170804","16372"
"9.00000000","20207","18013256.93985917","1801"
"11.00000000","922731","822556074.10170686","82256"
"12.00000000","5124125","4567831950.16359997","456783"
"15.00000000","499374","445160200.47930086","44516"
"24.00000000","4736","4221843.16658450","422"
"25.00000000","2801","2496913.57888581","250"
"29.00000000","7541","6722322.49138803","672"
"33.00000000","80226","71516382.99881932","7152"
"39.00000000","96638","86146638.49923840","8615"
"41.00000000","34907","31117373.18749265","3112"
