value,count,m2,hectare
"0.00000000","812249699","725141813805.35461426","72514181"
"3.00000000","86950522","77625709571.85716248","7762571"
"4.00000000","74588","66588978.33351342","6659"
"6.00000000","2640132","2356997004.15100861","235700"
"11.00000000","2396071","2139109775.09196949","213911"
"12.00000000","21374316","19082075736.28022003","1908208"
"15.00000000","123300","110076969.86810485","11008"
"24.00000000","1751","1563217.95814316","156"
"25.00000000","399","356210.14580190","36"
"29.00000000","1167227","1042050375.57370973","104205"
"30.00000000","150","133913.58864733","13"
"33.00000000","692185","617953182.38567841","61795"
"41.00000000","10825","9664097.31404895","966"
