value,count,m2,hectare
"0.00000000","818405225","731058889212.74194336","73105889"
"3.00000000","91557523","81785818343.77960205","8178582"
"4.00000000","60718","54237720.23842988","5424"
"6.00000000","3060728","2734064181.79006243","273406"
"9.00000000","20324","18154870.48529018","1815"
"11.00000000","2931757","2618857932.95330000","261886"
"12.00000000","24253200","21664716830.04525375","2166472"
"15.00000000","1186978","1060294816.91048837","106029"
"24.00000000","20807","18586321.10743125","1859"
"25.00000000","3188","2847752.76063300","285"
"29.00000000","1172474","1047338792.43112159","104734"
"30.00000000","35801","31980049.11650628","3198"
"33.00000000","545792","487540989.56443101","48754"
"35.00000000","829","740522.91046573","74"
"39.00000000","171047","152791582.95106420","15279"
"41.00000000","208549","186291088.60641512","18629"
