"","plot_id","ca","pland"
"1","ADRIANÓPOLIS",64.1201628605706,25.721280763673
"2","ALEIXO",209.305068942812,33.7484408773497
"3","ALVORADA",127.070064823995,22.9121540789239
"4","ARMANDO MENDES",31.0720574451632,10.0677299526144
"5","BETÂNIA",5.16881459119191,9.80165828659834
"6","CACHOEIRINHA",29.676589754848,14.9567975968842
"7","CENTRO",73.0550299187776,17.0641581432418
"8","CHAPADA",100.463015331555,41.4935469689342
"9","CIDADE DE DEUS",135.205412356662,19.9240014301586
"10","CIDADE NOVA",398.552250658762,28.0089609571414
"11","COLÔNIA OLIVEIRA MACHADO",18.6455290268927,13.2667697479263
"12","COLÔNIA SANTO ANTÔNIO",93.0577839730075,27.1233668165632
"13","COLÔNIA TERRA NOVA",299.445468878175,31.6412933632948
"14","COMPENSA",88.0253682131359,17.2696096360834
"15","COROADO",667.723092434946,64.5217167856598
"16","CRESPO",15.5158273899622,14.0321224282491
"17","DA PAZ",80.3558729713608,33.2439671607516
"18","DISTRITO INDUSTRIAL I",344.003199456897,29.3613411619806
"19","DOM PEDRO I",65.0378451326847,23.5122272312047
"20","EDUCANDOS",7.9551112784672,9.56556468245926
"21","FLORES",357.518900162941,27.1929715648808
"22","GILBERTO MESTRINHO",174.461080991626,24.6044264051785
"23","GLÓRIA",12.3546817856944,24.869329193494
"24","JAPIIM",133.185881062257,24.2531899153274
"25","JORGE TEIXEIRA",380.395377881217,24.6030570019219
"26","LÍRIO DO VALE",17.3047695905468,8.05924771295497
"27","MAUAZINHO",346.953620906177,46.1981264476672
"28","MONTE DAS OLIVEIRAS",78.6726292420651,19.5156887350194
"29","MORRO DA LIBERDADE",9.81458994633827,13.6940569874666
"30","NOSSA SENHORA APARECIDA",14.1208200279935,21.0378656470122
"31","NOSSA SENHORA DAS GRAÇAS",42.5608261932711,20.041903062692
"32","NOVA CIDADE",284.974622254276,27.2137340409546
"33","NOVA ESPERANÇA",31.964952806128,21.5540054128976
"34","NOVO ALEIXO",420.134674563473,32.8216261696829
"35","NOVO ISRAEL",26.0756889361342,18.5382635715352
"36","PARQUE 10 DE NOVEMBRO",245.913672511663,29.8733659830242
"37","PETRÓPOLIS",77.4672063408319,23.8132189750862
"38","PLANALTO",110.79161499635,25.7425863136133
"39","PRAÇA 14 DE JANEIRO",12.3776982032454,12.2942834070523
"40","PRESIDENTE VARGAS",14.1519807163559,24.8639259622856
"41","RAIZ",12.3738385270741,14.3657674375774
"42","REDENÇÃO",80.7152477737499,26.8136657170638
"43","SANTA ETELVINA",255.860766203244,38.1153940576047
"44","SANTA LUZIA",2.42901106735214,8.82425206047578
"45","SANTO AGOSTINHO",27.3018266131273,18.2527026687922
"46","SANTO ANTÔNIO",12.7349130034112,11.2150048553044
"47","SÃO FRANCISCO",33.7533992684948,20.7337352240978
"48","SÃO GERALDO",23.5553203960943,22.4608819729896
"49","SÃO JORGE",161.488992657957,50.1695267277552
"50","SÃO JOSÉ OPERÁRIO",139.814503083239,25.6712027699817
"51","SÃO LÁZARO",14.862479820779,18.1155201219536
"52","SÃO RAIMUNDO",26.4194479845345,23.409909043531
"53","TANCREDO NEVES",43.7628497466736,14.3208789324236
"54","TARUMÃ",1717.89356489891,43.6386672638845
"55","VILA BURITI",254.746594545056,25.2792800472568
"56","VILA DA PRATA",12.2631118537867,18.4696965333487
"57","ZUMBI DOS PALMARES",43.1222143219112,17.1213032076873
